display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Roger Moore,Tribune News Service,"I found the length tedious, some of the dialogue eye-rolling and some of the digital effects lacking (the digital ship's digital wake seemed puny) when ""Titanic"" first came out. But those quibbles fade with time.","| Original Score: 3/4
                
                |","Apr 2, 2012"
Rene Rodriguez,Miami Herald,"Here is a rare opportunity to return to something you once loved, and discover it still holds up, no apologies necessary.","| Original Score: 3.5/4
                
                |","Apr 2, 2012"
Scott A. Mantz,Access Hollywood,"Still a spectacular cinematic experience that, if nothing else, will remind moviegoers why they fell in love with it in the first place.","| Original Score: 4/5
                
                |","Apr 2, 2012"
Ed Gibbs,The Sun-Herald (Australia),"A modern-day take on the classic Hollywood romance, delivered with the kind of panache long thought lost to the sands of time, that proves essentially timeless.","| Original Score: 10/10
                
                |","Apr 1, 2012"
Paul Byrnes,Sydney Morning Herald,"Turns out hubris and greed float, like sorrow.","| Original Score: 3/5
                
                |","Mar 28, 2012"
Laura Clifford,Reeling Reviews,"The unprecedented special effects...never overpower the fictional love story and historical human tragedy which are presented. It's not only awe-inspiring, it's surprisingly moving.","| Original Score: A
                
                |","Mar 26, 2012"
JimmyO,JoBlo's Movie Network,"As dreadful as another post conversion of a blockbuster may sound, this is as good as it gets","| Original Score: 10/10
                
                |","Feb 16, 2012"
Sandie Angulo Chen,Common Sense Media,"Great movie, but not appropriate for all kids.","| Original Score: 4/5
                
                |","Dec 31, 2010"
Tim Brayton,Antagony & Ecstasy,"Exactly what it says on the label: a deliciously overwrought melodramatic love story, capped off with one of the greatest special effects achievements of the 1990s.","| Original Score: 7/10
                
                |","Dec 18, 2009"
Josh Larsen,LarsenOnFilm,Feeling dispassionate about Titanic is a bit like being stranded alone on the North Atlantic.,"| Original Score: 3/4
                
                |","Dec 14, 2009"
Louise Keller,Urban Cinefile,"Extravagant, exhilarating, devastating, poetic, romantic and totally unforgettable, Titanic is an extraordinary achievement in film making, where technology astounds, yet the human story shines even brighter",|,"Oct 3, 2008"
Andrew L. Urban,Urban Cinefile,"You will walk out of Titanic not talking about budget or running time, but of its enormous emotive power, big as the engines of the ship itself, determined as its giant propellers to gouge into your heart, and as lasting as the love story that propels it.",|,"Oct 3, 2008"
David Edelstein,Slate,Now it can be told: The Titanic went down because of two distracting smoochers on the poop deck.,|,"Jan 29, 2008"
Film4 Staff,Film4,"In the end, Cameron's monumental epic still prises open the tear ducts.",|,"Jan 29, 2008"
Todd McCarthy,Variety,A spectacular demonstration of what modern technology can contribute to dramatic storytelling.,|,"Jan 29, 2008"
Desson Thomson,Washington Post,"Titanic is a good, often stunning movie caught in a three-and-a-half hour drift.",|,"Jan 29, 2008"
Stephen Hunter,Washington Post,"Cameron captures the majesty, the tragedy, the fury and the futility of the event in a way that supersedes his trivial attempts to melodramatize it.",|,"Jan 29, 2008"
David Ansen,Newsweek,"Titanic is big, bold, touchingly uncynical filmmaking.",|,"Jan 29, 2008"
Emanuel Levy,EmanuelLevy.Com,"Cameron skillfully applies sophisticated special effects to classic American storytelling, resulting in a winning combination of a tale that's modern and old-fashioned, delivering the goods expected of the disaster genre.","| Original Score: B+
                
                |","Sep 18, 2007"
Gary Brown,Houston Community Newspapers,There is nothing to dislike about this film.,"| Original Score: 4/4
                
                |","May 22, 2007"
Andrew Sarris,Observer,Titanic runs well enough in the backstretch of intrigue and contrivance to cross the finish line well ahead of all but a few of the screen's superspectacles in this century.,|,"Apr 27, 2007"
Steven D. Greydanus,Decent Films,"Perhaps the most melancholy thing about Titanic is its celebration of romantic ideals to the exclusion of such self-denying virtues as honor, duty, and heroism.","| Original Score: C-
                
                |","Oct 27, 2006"
Geoff Andrew,Time Out,"Cost: well over $200m. Disregarding the ethics of such expenditure on a film, this unprecedented extravagance has not resulted in sophisticated or even very satisfying storytelling.",|,"Feb 9, 2006"
Jeffrey M. Anderson,Combustible Celluloid,"A brilliantly designed, but emotionally shallow romance set during the infamous sinking of the luxury liner in 1912.","| Original Score: 3/4
                
                |","Jan 27, 2006"
Eric Henderson,Slant Magazine,It's something of an ingenuous revision of the standard disaster movie.,"| Original Score: 3.5/4
                
                |","Oct 23, 2005"
Robin Clifford,Reeling Reviews,An enormous technical achievement with a wonderfully big heart.,"| Original Score: A+
                
                |","Apr 9, 2005"
Sky Staff,Sky Cinema,Titanic is some big movie.,"| Original Score: 5/5
                
                |","Feb 14, 2005"
Jeffrey Overstreet,Looking Closer,"The spectacle of the ship will enchant you, and the tragedy of the victims will haunt you for many days after you've seen it.","| Original Score: B
                
                |","Jan 15, 2005"
Martin Scribbs,Low IQ Canadian,Abyss-mal.,"Full Review
                
                
                |","Jul 23, 2004"
Dragan Antulov,rec.arts.movies.reviews,Rose and Jack are burdened with simplistic characterisation and atrocious dialogue.,"Full Review
                
                
                    | Original Score: 5/10
                
                |","Jan 8, 2004"
Jim Shelby,Palo Alto Weekly,"This is Hollywood spectacle at its best, with a warm gooey heart.","| Original Score: 3/4
                
                |","May 14, 2003"
John R. McEwen,Film Quips Online,"The plot before the collision is almost dispensable, but from that moment on, it is absolutely riveting.","| Original Score: 4.5/5
                
                |","Feb 8, 2003"
Nick Davis,Nick's Flick Picks,"Yes, Jack Dawson and Rose DeWitt Bukater are flimsyish characters, but DiCaprio and Winslet still have the formidable challenge as actors to gauge the levels of their performances against the galvanizing visual and technotronic aspects of the film.","| Original Score: A
                
                |","Jan 10, 2003"
Chris Gore,Film Threat,The film is the best of the year.,"| Original Score: 5/5
                
                |","Dec 8, 2002"
Margaret A. McGurk,Cincinnati Enquirer,"An old-fashioned epic, a brawny drama built on tragedy, adventure, romance, charismatic stars and jaw-dropping, high-tech special effects.","| Original Score: 4/4
                
                |","Oct 15, 2002"
Pablo Villaça,Cinema em Cena,Quando eu sa do cinema no era apenas um espectador fascinado. Era um sobrevivente do Titanic.,"| Original Score: 5/5
                
                |","May 31, 2002"
Rick Groen,Globe and Mail,Titanic is awesome even when it's awful -- you can't take your eyes off the extraordinary thing.,"| Original Score: 3/4
                
                |","Apr 12, 2002"
Peter Keough,Boston Phoenix,The film's long final phase is a harrowing series of sublime images of death and those about to die.,|,"Mar 24, 2002"
Frederic and Mary Ann Brussat,Spirituality & Practice,The finale is a special effects dazzler but those scenes pale in comparison to the dramatic and creative ways Cameron exalts the salvific power of love.,|,"Mar 2, 2002"
Brandon Judell,Critics Inc./America Online,"If when you see this film, you believe it's credible, God bless you and your unfortunate offspring with their damaged gene pool.","| Original Score: 1/10
                
                |","Jul 9, 2001"
Almar Haflidason,BBC.com,Despite its failings it's hard not to become swept up in the sheer grandeur of Titanic.,"| Original Score: 4/5
                
                |","Apr 17, 2001"
Andrew Howe,Film Written Magazine,The incredible finale more than makes up for its other crimes.,"| Original Score: 3/4
                
                |","Apr 2, 2001"
James Kendrick,Q Network Film Desk,"In his brilliant, monumental film Titanic, one of the most popular and beloved Hollywood movies of the past 50 years, James Cameron revisited that night in all its horror and glory.","| Original Score: 4/4
                
                |","Feb 27, 2001"
Kenneth Turan,Los Angeles Times,"A hackneyed, completely derivative copy of old Hollywood romances, a movie that reeks of phoniness and lacks even minimal originality.",|,"Feb 14, 2001"
Robert Roten,Laramie Movie Scope,This is a fine example of Hollywood filmmaking. This is a studio film in the best sense of the word.,"| Original Score: 10/10
                
                |","Jan 1, 2001"
MaryAnn Johanson,Flick Filosopher,"Watching the film again, it suddenly struck me with the force of a pop-culture hurricane: Titanic is all about Rose. It is Rose's personal journey. This hardly ever happens in films...","| Original Score: 9/10
                
                |","Jan 1, 2000"
Widgett Walls,Needcoffee.com,To take the space to try to convey to you all of the things that Cameron did right with this film would basically wipe out my alloted server storage.,"| Original Score: 5/5
                
                |","Jan 1, 2000"
Mark R. Leeper,rec.arts.movies.reviews,This is a big film with a lot to like as well as a lot to not.,"| Original Score: high +1 out of -4..+4
                
                |","Jan 1, 2000"
David N. Butterworth,rec.arts.movies.reviews,"Time skips by quickly, and there are more than a few decent supporting performances to enjoy.","| Original Score: 3/4
                
                |","Jan 1, 2000"
Adam Smith,Empire Magazine,"James Cameron has gone and delivered a spectacular, moving, utterly engrossing three-and-a-bit hour epic.",|,"Jan 1, 2000"
Michael Dequina,TheMovieReport.com,"This absorbing, moving cinematic spectacle not only floats, it soars.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Ted Prigge,rec.arts.movies.reviews,A wonderful masterpiece of a film.,"| Original Score: 4/4
                
                |","Jan 1, 2000"
David Keyes,David Keyes' Cinema 2000,"Titanic is one of those flawless, spellbinding epics that we all know and love.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Rob Blackwelder,SPLICEDWire,"It is opulent, daring, detailed, vastly over-priced and incomparable.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Ian Mantgani,UK Critic,The best film of its genre ever made.,"Full Review
                
                
                    | Original Score: 10/10
                
                |","Jan 1, 2000"
Frank Ochieng,rec.arts.movies.reviews,"What Cameron does is essentially give us a history lesson in an empowering, emphatic, entertaining way. This extraordinary flick feels like a big event with a litany of emblematic scope and impressive visual vitality.","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","Jan 1, 2000"
Shane Burridge,rec.arts.movies.reviews,This man makes the bluest looking movies around,"Full Review
                
                
                |","Jan 1, 2000"
Kristian M. Lin,rec.arts.movies.reviews,"The movie's human elements are entirely stale, however appealingly packaged.",|,"Jan 1, 2000"
Tom Keogh,Film.com,The would-be emotional centerpiece of his three-hours-plus adventure flick is the most juvenile romantic tale of 1997.,|,"Jan 1, 2000"
Cynthia Fuchs,Philadelphia City Paper,"This disaster-action-adventure-romance flick combines epic aspiration with cartoonish simplicity, with no qualms about going for the popular jugular, jerking tears and cheers with equal obviousness.",|,"Jan 1, 2000"
Susan Stark,Detroit News,"As spectacle, Titanic sets a new standard; as romantic drama, it's substandard.","Full Review
                
                
                    | Original Score: 2/4
                
                |","Jan 1, 2000"
Barbara Shulgasser,San Francisco Examiner,Titanic is awash in truncated subplots.,|,"Jan 1, 2000"
Steve Rhodes,Internet Reviews,It is filmmaking at its best.,"| Original Score: 4/4
                
                |","Jan 1, 2000"
David Sterritt,Christian Science Monitor,But what's most impressive about Titanic is the evidence it shows of new maturity in Cameron's filmmaking priorities.,"| Original Score: 3/4
                
                |","Jan 1, 2000"
Michael Wilmington,Chicago Tribune,"Titanic is a film that sweeps us away into a world of spectacle, beauty and excitement.",|,"Jan 1, 2000"
Mike McGranaghan,Aisle Seat,"Jams Cameron impressively tells a love story and provides excitement, without ever losing sight of the staggering loss of lives.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Peter Brunette,Film.com,The disaster is definitely worth the wait.,|,"Jan 1, 2000"
Ed Kelleher,Film Journal International,Titanic is a remarkable achievement.,|,"Jan 1, 2000"
Joe Baltake,Sacramento Bee,Titanic is a terrific balance of realism and romanticism.,|,"Jan 1, 2000"
John Hartl,Seattle Times,"No other film has made the horror of the ship's sinking so palpable, and none other has dared to dramatize the night of the living dead that followed after it sank beneath the North Atlantic.","| Original Score: 3.5/4
                
                |","Jan 1, 2000"
Marc Savlov,Austin Chronicle,"It's still by far and away a grand, gorgeous, breathtaking spectacle.","| Original Score: 4.5/5
                
                |","Jan 1, 2000"
Mike Clark,USA Today,"Credit Cameron for locating that latitude-longitude spot where haunting loss intersects with sheer cinematic braggadocio. His movie may not be perfect, but visually and viscerally, it pretty well is.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Jeff Vice,Deseret News (Salt Lake City),"Kudos to stars Leonardo DiCaprio and Kate Winslet, who make an appealing onscreen couple.",|,"Jan 1, 2000"
Owen Gleiberman,Entertainment Weekly,A lush and terrifying spectacle of romantic doom.,"| Original Score: A
                
                |","Jan 1, 2000"
James Berardinelli,ReelViews,"You don't just watch Titanic, you experience it.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Urban Cinefile Critics,Urban Cinefile,"An overwhelming cinematic experience which stuns, moves and entertains.",|,"Jan 1, 2000"
Edward Johnson-Ott,NUVO Newsweekly,Cameron has crafted an epic that triumphs.,"| Original Score: 4/5
                
                |","Jan 1, 2000"
Jay Carr,Boston Globe,"Titanic is big-budget spectacle and director Cameron brings it off with high-tech bravura, placing us aboard the ship in real time.","| Original Score: 3/4
                
                |","Jan 1, 2000"
Maitland McDonagh,TV Guide,"The drama is cliched, if competently effective, but Cameron's dissolves from the Titanic's rusted hulk to her brand spanking new decks are breathtaking, even poetic.","| Original Score: 3.5/4
                
                |","Jan 1, 2000"
Richard Corliss,TIME Magazine,The regretful verdict here: dead in the water.,|,"Jan 1, 2000"
Mick LaSalle,San Francisco Chronicle,"The last hour of Titanic is huge and staggering, but there's no horror in it.","| Original Score: 2/4
                
                |","Jan 1, 2000"
Robert Horton,Film.com,"Like it or hate it, Titanic lives and breathes as a piece of pure cinema.",|,"Jan 1, 2000"
Stanley Kauffmann,The New Republic,"Bursting through gaps in the hull, rushing down corridors, licking at rooms, triumphing over great ballrooms and tiny closets, down stairways and into elevators, the sea, in the hands of Cameron and his technical associates, becomes hungry, vindictive.",|,"Jan 1, 2000"
Joseph McBride,Boxoffice Magazine,"Like a David Lean film, it is an intimate epic with a moving and resonant love story at its core.",|,"Jan 1, 2000"
Dan Jardine,Apollo Guide,"Titanic is a great, soft-hearted traditional epic.","| Original Score: 89/100
                
                |","Jan 1, 2000"
Bryant Frazer,Bryant Frazer's Deep Focus,It's clear that Titanic will be a technophile's delight.,"| Original Score: B-
                
                |","Jan 1, 2000"
Harvey S. Karten,Compuserve,"It is perhaps the best example in 1997 of a film which is pure, simple melodrama.","| Original Score: 8/10
                
                |","Jan 1, 2000"
Mike D'Angelo,Man Who Viewed Too Much,"A fascinating combination of newfangled technological innovation and old-fashioned cornball melodrama, Titanic is so close to being a truly terrific movie that contemplating its various missteps pains me.","| Original Score: 3/4
                
                |","Jan 1, 2000"
Christopher Null,Filmcritic.com,"Whatever it's pigeon-holed as, you're going to love the movie.","Full Review
                
                
                    | Original Score: 4/5
                
                |","Jan 1, 2000"
E! Staff,E! Online,Who'd have thought that the most expensive film ever made could also be good cinema?,|,"Jan 1, 2000"
Peter Rainer,New York Magazine/Vulture,There's a lot to like here.,"Full Review
                
                
                |","Jan 1, 2000"
Scott Renshaw,Scott Renshaw's Screening Room,May be the year's most effective and consistently entertaining love story.,"| Original Score: 9/10
                
                |","Jan 1, 2000"
Jeff Millar,Houston Chronicle,Titanic will give you your money's worth.,|,"Jan 1, 2000"
Janet Maslin,New York Times,"Cameron succeeds magically in linking his film's young lovers, played enchantingly by Leonardo DiCaprio and Kate Winslet.",|,"Jan 1, 2000"
Nell Minow,Movie Mom,The movie raises important questions about choices faced by the characters.,"Full Review
                
                
                    | Original Score: 4/5
                
                |","Jan 1, 2000"
Bruce Kirkland,Jam! Movies,James Cameron has made a miracle movie that delivers big-time.,"Full Review
                
                
                |","Jan 1, 2000"
Carlo Cavagna,AboutFilm.com,The genius of Titanic does not lie in the story itself. It lies in how the story is told.,"| Original Score: A+
                
                |","Jan 1, 2000"
Jack Garner,Rochester Democrat and Chronicle,"There's never been a film of more stunning visual splendor, starting with the magical way the underwater ruin of 1997 turns seamlessly into the floating luxury liner of 1912.","| Original Score: 8/10
                
                |","Jan 1, 2000"
Marty Mapes,Movie Habit,The melodramatic love story is the perfect foreground for the sinking of the largest passenger ship in history.,"| Original Score: 3.5/4
                
                |","Jan 1, 2000"
Matt Easterbrook,Matt's Movie Reviews,"Forgive me if I gush too much, for I have just come back from seeing one of the five best films ever made.","Full Review
                
                
                |","Jan 1, 2000"
Madeleine Williams,Cinematter,"Titanic is one of his best, and raises the bar yet again.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Stephanie Zacharek,Salon.com,Glub glub glub.,|,"Jan 1, 2000"
Jonathan Rosenbaum,Chicago Reader,"All things considered, Titanic is old-fashioned epic filmmaking that carries a wallop.",|,"Jan 1, 2000"
Roger Ebert,Chicago Sun-Times,"James Cameron's 194-minute, $200 million film of the tragic voyage is in the tradition of the great Hollywood epics. It is flawlessly crafted, intelligently constructed, strongly acted and spellbinding.","| Original Score: 4/4
                
                |","Jan 1, 2000"
Jeff Simon,Buffalo News,"Awesome. Really. Not just expensive and jammed stem to stern with the technodazzle of disaster, but epic in narrative feeling.",|,"Jan 1, 2000"
Dennis Schwartz,Dennis Schwartz Movie Reviews,An unconscionable disaster...,"| Original Score: C
                
                |","Jan 1, 2000"
Scott Nash,Three Movie Buffs,"The events of that cold April night and their detailed reconstruction are so dramatic and so well represented here, that you really do feel as if you are there with Jack and Rose.","| Original Score: 3.5/4
                
                |","Dec 19, 1997"
